Docket_Number,Case_Name,Intervenors_and_Counsel,SCC_Registry_URL
35959,Wilson v. British Columbia (Superintendent of Motor Vehicles),No Intervenors found in this case.,https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/15549/index.do
35591,Carter v. Canada (Attorney General),"[Intervener] Attorney General of Ontario -> S. Zachary Green, Malliha Wilson
[Intervener] Attorney General of Quebec -> Sylvain Leboeuf, Syltiane Goulet, Jean-Yves Bernard, Mario Normandin, Manon Des Ormeaux
[Intervener] Council of Canadians with Disabilities, Canadian Association for Community Living -> David Baker, Sarah Mohamed, Emily Shepard
[Intervener] Christian Legal Fellowship -> Gerald D. Chipeur, Q.C.
[Intervener] Canadian HIV/AIDS Legal Network, HIV & AIDS Legal Clinic Ontario -> Gordon Capern, Michael Fenrick, Richard Elliott, Ryan Peck
[Intervener] Association for Reformed Political Action Canada -> Andre Schutten
[Intervener] Physicians' Alliance Against Euthanasia -> Pierre Bienvenu, Andres C. Garin, Vincent Rochette
[Intervener] Evangelical Fellowship of Canada -> Geoffrey Trotter
[Intervener] Christian Medical and Dental Society of Canada -> Albertos Polizogopoulos, Richard Léger
[Intervener] Canadian Federation of Catholic Physicians' Societies -> Albertos Polizogopoulos, Richard Léger
[Intervener] Dying with Dignity -> Cynthia Petersen, Kelly Doctor
[Intervener] Canadian Medical Association -> Harry Underwood, Jessica Prince, Jean Nelson
[Intervener] Catholic Health Alliance of Canada -> Russell G. Gibson, Albertos Polizogopoulos
[Intervener] Criminal Lawyers' Association (Ontario) -> Marlys A. Edwardh, Daniel Sheppard
[Intervener] Farewell Foundation For The Right To Die -> Jason B. Gratl
[Intervener] Association québécoise pour le droit de mourir dans la dignité -> Jason B. Gratl
[Intervener] Canadian Civil Liberties Association -> Christopher D. Bredt, Ewa Krajewska, Margot Finley
[Intervener] Catholic Civil Rights League -> Robert W. Staley, Ranjan K. Agarwal, Jack R. Maslen, Philip H. Horgan
[Intervener] Faith and Freedom Alliance and Protection of Conscience Project -> Robert W. Staley, Ranjan K. Agarwal, Jack R. Maslen
[Intervener] Alliance Of People With Disabilities Who Are Supportive of Legal Assisted Dying Society -> Angus M. Gunn, Q.C., Duncan A.W. Ault
[Intervener] Canadian Unitarian Council -> Tim A. Dickson, Ryan J. M. Androsoff
[Intervener] Euthanasia Prevention Coalition and Euthanasia Prevention Coalition - British Columbia -> Hugh R. Scher, Geoff Cowper, Q.C.
[Intervener] Foley, Roger -> Ken J. Berger",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14637/index.do
35696,407 ETR Concession Co. v. Canada (Superintendent of Bankruptcy),"[Intervener] Attorney General of Ontario -> Josh Hunter, Daniel Huffaker
[Intervener] Attorney General of Quebec -> Alain Gingras
[Intervener] Attorney General of British Columbia -> Richard M. Butler
[Intervener] Attorney General for Saskatchewan -> Thomson Irvine
[Intervener] Attorney General of Alberta -> Lillian Riczu, Randy Steele
[Intervener] Michael Dow, Gwendolyn Miron and Peter Teolis -> David Thompson, Matthew G. Moloci, Marie-France Major",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/15623/index.do
35755,R. v. Moriarity,No Intervenors found in this case.,https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/15628/index.do
35388,B010 v. Canada (Citizenship and Immigration),"[Intervener] Attorney General of Ontario -> Hart Schwartz, Padraic Ryan
[Intervener] Canadian Association of Refugee Lawyers -> Andrew J. Brouwer, Erin Bobkin, Jennifer Bond
[Intervener] Canadian Council for Refugees -> Catherine Bruce, Angus Grant, Laura Best
[Intervener] Amnesty International (Canadian Section, English Branch) -> Michael Bossin, Laïla Demirdache, Chantal Tie
[Intervener] David Asper Centre for Constitutional Rights -> Barbara Jackman
[Intervener] United Nations High Commissioner for Refugees -> John Terry, Rana R. Khan",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/15647/index.do
35958,R. v. Appulonappa,"[Intervener] Attorney General of Ontario -> Hart Schwartz, Padraic Ryan
[Intervener] Amnesty International (Canadian Section, English Branch) -> Michael Bossin, Laïla Demirdache, Chantal Tie
[Intervener] British Columbia Civil Liberties Association -> Marlys A. Edwardh, Daniel Sheppard
[Intervener] Canadian Civil Liberties Association -> Andrew I. Nathanson, Gavin R. Cameron
[Intervener] Canadian Council for Refugees -> Catherine Bruce, Laura Best, Fadi Yachoua, Darryl W. Larson, Angus Grant
[Intervener] Canadian Association of Refugee Lawyers -> Andrew J. Brouwer, Erin Bobkin, Jennifer Bond",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/15648/index.do
35864,Goodwin v. British Columbia (Superintendent of Motor Vehicles),"[Intervener] Attorney General of Canada -> Robert J. Frater Q.C.
[Intervener] Attorney General of Ontario -> Zachary Green
[Intervener] Attorney General of Quebec -> Brigitte Bussières, Alain Gingras, Gilles Laporte
[Intervener] Attorney General of Manitoba -> Heather Leonoff, Q.C.
[Intervener] Attorney General for Saskatchewan -> Graeme G. Mitchell, Q.C.
[Intervener] Attorney General of Alberta -> Roderick Wiltshire
[Intervener] British Columbia Civil Liberties Association -> Claire E. Hunter, Eileen Patel
[Intervener] Insurance Bureau of Canada -> Alan L.W. D'Silva, Alexandra Urbanski
[Intervener] Criminal Trial Lawyers' Association (Alberta) and Criminal Defence Lawyers Association (Calgary) -> Stephen M. Smith, Ian Savage, Michael Oykhman, Shannon Prithipaul
[Intervener] Criminal Lawyers' Association of Ontario -> Michael Lacy, Jonathan Rosenthal, Joanna Baron, Andrew Burgess
[Intervener] Alberta Registrar of Motor Vehicle Services -> Sean McDonough
[Intervener] Mothers Against Drunk Driving Canada -> Bryant Mackey, Matthew Estabrooks",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/15550/index.do
35977,R. v. Barabash,"[Intervener] Attorney General of Canada -> Jeffrey G. Johnston
[Intervener] Attorney General of Ontario -> Christine Bartlett-Hughes, Lisa Henderson
[Intervener] Canadian Civil Liberties Association -> Alexi N. Wood, Kate Southwell
[Intervener] Beyond Borders and the Canadian Centre for Child Protection Inc. -> David Matas",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/15374/index.do
35314,Tervita Corp. v. Canada (Commissioner of Competition),No Intervenors found in this case.,https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14603/index.do
35518,Kahkewistahaw First Nation v. Taypotat,No Intervenors found in this case.,https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/15383/index.do
