NGO,Counsel,Weight
Alberta Registrar of Motor Vehicle Services,Sean McDonough,1
Alberta Securities Commission,Brandon Barnes Trickett,1
Alberta Securities Commission,Kelly Osaka,1
Alberta Securities Commission,Michael Beeforth,1
Alberta Securities Commission,Raphael T. Eghan,1
Alberta Securities Commission and British Columbia Securities Commission,Jennifer L. Whately,1
Alberta Securities Commission and British Columbia Securities Commission,Lorenz Berner,1
Alberta Securities Commission and British Columbia Securities Commission,Tracy Knight,1
Alice Desjardins and Gilles Létourneau,Sébastien Grammond,1
"Alimentation Couche-Tard Inc., Dépan-Escompte Couche-Tard Inc.",Jean-Philippe Groleau,1
"Alimentation Couche-Tard Inc., Dépan-Escompte Couche-Tard Inc.",Louis-Martin O’Neill,1
Alliance Of People With Disabilities Who Are Supportive of Legal Assisted Dying Society,Angus M. Gunn (QC),1
Alliance Of People With Disabilities Who Are Supportive of Legal Assisted Dying Society,Duncan A.W. Ault,1
Alliance du personnel professionnel et technique de la santé et des services sociaux,Denis Bradet,1
"Alliance of Manufacturers & Exporters Canada, also known as Canadian Manufacturers & Exporters",Cherrine Chow,1
"Alliance of Manufacturers & Exporters Canada, also known as Canadian Manufacturers & Exporters",George Avraam,1
"Alliance of Manufacturers & Exporters Canada, also known as Canadian Manufacturers & Exporters",Mark Mendl,1
"Alliance of Manufacturers & Exporters of Canada, carrying on business as Canadian Manufacturers & Exporters",Ailsa Jane Wiggins,1
"Alliance of Manufacturers & Exporters of Canada, carrying on business as Canadian Manufacturers & Exporters",Anna Abbott,1
"Alliance of Manufacturers & Exporters of Canada, carrying on business as Canadian Manufacturers & Exporters",Norman A. Keith,1
"Alliance of Manufacturers & Exporters of Canada, carrying on business as Canadian Manufacturers & Exporters and Canadian Chamber of Commerce",Michael A. Feder,1
"Alliance of Manufacturers & Exporters of Canada, carrying on business as Canadian Manufacturers & Exporters and Canadian Chamber of Commerce",Pierre-Jérôme Bouchard,1
"Alliance of Manufacturers & Exporters of Canada, carrying on business as Canadian Manufacturers & Exporters and Canadian Chamber of Commerce",Steven I. Sofer,1
Amnesty International,Chantal Tie,3
Amnesty International,Jennifer Anne Klinck,1
Amnesty International,Justin Dubois,1
Amnesty International,Justin Safayeni,1
Amnesty International,Laïla Demirdache,3
Amnesty International,Michael Bossin,3
Amnesty International,Michael Sabet,1
Amnesty International,Perri Ravon,1
Amnesty International,Stephen Alyward,1
Amnesty International Canada,François Larocque,1
Amnesty International Canada,Justin Safayeni,1
Amnesty International Canada,Kaitlyn Mitchell,1
Amnesty International Canada,Margot Venton,1
Amnesty International Canada,Perri Ravon,1
Amnesty International Canada,Randy Christensen,1
Amnesty International Canada,Zachary Al-Khatib,1
Amnesty International Canada (English Branch),Jamie Liew,1
Amnesty International Canada (English Branch),Laïla Demirdache,1
Amnesty International Canada (English Branch),Michael Bossin,1
Amnesty International Canada and International Commission of Jurists,François Larocque,1
Amnesty International Canada and International Commission of Jurists,Jennifer Klinck,1
Amnesty International Canada and International Commission of Jurists,Penelope Simons,1
Amnesty International and Canadian Friends Service Committee,Justin Safayeni,1
Amnesty International and Canadian Friends Service Committee,Paul Joffe,1
"Amnesty International, Canadian Section (English Speaking)",Clémence Thabet,1
"Amnesty International, Canadian Section (English Speaking)",Danielle Bisnar,1
"Amnistie Internationale, Section Canada francophone",François Larocque,1
"Amnistie Internationale, Section Canada francophone",Maxine Vincelette,1
"Amnistie internationale, Section Canada francophone",Alyssa Tomkins,1
"Amnistie internationale, Section Canada francophone",François Larocque,1
"André Bilodeau, Carol Lehoux, Claude Bédard, Stéphane Grant",Hugo Poirier,1
"André Bilodeau, Carol Lehoux, Claude Bédard, Stéphane Grant",Michel Chabot,1
"Angers, Guy",Jean-Rémi Thibault,1
Animal Justice,Camille Labchuk,1
Animal Justice,Kaitlyn Mitchell,1
Animal Justice,Peter Sankoff,1
Animal Justice,Scott Tinney,1
"Anwar, Tiffany",Alana Robert,1
"Anwar, Tiffany",H. Michael Rosenberg,1
"Anwar, Tiffany",Holly Kallmeyer,1
"Anwar, Tiffany",James Lockyer,1
"Anwar, Tiffany",Jeffrey Hartman,1
Appeals Commission for Alberta Workers' Compensation and Workers' Compensation Appeals Tribunal (New Brunswick),Ana Rodriguez,1
Appeals Commission for Alberta Workers' Compensation and Workers' Compensation Appeals Tribunal (New Brunswick),David Corbett,1
Appeals Commission for Alberta Workers' Compensation and Workers' Compensation Appeals Tribunal (New Brunswick),Kayla Seyler,1
Appeals Commission for Alberta Workers' Compensation and Workers' Compensation Appeals Tribunal (New Brunswick),Michelle Alton,1
Apple Canada Inc. and Apple Inc.,Michael Koch,1
"Arbitration Committee, appointed pursuant to the National Energy Board Act, R.S.C. 1985, c.N-7, Part V",Christopher M. Rupar,1
Arbitration Place,Cynthia B. Kuehl,1
Arbitration Place,Earl A. Cherniak (QC),1
Arbitration Place,Hugh Meighen,1
Arbitration Place,Lisa C. Munro,1
Arbitration Place,Robert J.C. Deane (cr)aig Chiasson,1
"Armand Pouliot, Julie Roberge, Station-Service Pouliot et Roberge s.e.n.c.",Anne-Marie Lessard,1
"Armand Pouliot, Julie Roberge, Station-Service Pouliot et Roberge s.e.n.c.",Pierre Paradis,1
Aseniwuche Winewak Nation of Canada,Claire Truesdale,1
Aseniwuche Winewak Nation of Canada,Karey Brooks,1
Assembly of First Nations,Adam Williamson,2
Assembly of First Nations,Catherine J. Boies Parker,1
Assembly of First Nations,Guy Régimbald,1
Assembly of First Nations,Jaimie Lickers,1
Assembly of First Nations,Jeremy Kolodziej,1
Assembly of First Nations,Joseph J. Arvay (QC),2
Assembly of First Nations,Julie McGregor,5
Assembly of First Nations,Lacey Kassis,1
Assembly of First Nations,Patrick Macklem,1
Assembly of First Nations,Stuart Wuttke,5
Assembly of First Nations,Victor Carter,1
Assembly of First Nations Quebec-Labrador,Jameela Jeeroburkhan,1
Assembly of First Nations Quebec-Labrador,Marie-Eve Dumont,1
Assembly of First Nations Quebec-Labrador,Sara Andrade,1
Assembly of First Nations Quebec-Labrador,Wade MacAulay,1
"Assembly of First Nations, Federation of Saskatchewan Indian Nations and Métis Nation-Saskatchewan",David M. A. Stack,1
Assembly of Manitoba Chiefs,Byron Williams,2
Assembly of Manitoba Chiefs,Carly Fox,3
Assembly of Manitoba Chiefs,Christian Monnin,1
Assembly of Manitoba Chiefs,David Outerbridge (cr)aig Gilchrist,1
Assembly of Manitoba Chiefs,Emily Guglielmin,1
Assembly of Manitoba Chiefs,Ethan Fox,1
Assembly of Manitoba Chiefs,Joëlle Pastora Sala,2
Assembly of Manitoba Chiefs,Katrine Dilay,1
Assembly of Manitoba Chiefs,Nick Saunders,1
Assembly of Manitoba Chiefs,Niki Bains,1
Assembly of Manitoba Chiefs,Rebecca Amoah,1
Assessment Review Board for the City of Edmonton,Katharine L. Hurlburt (QC),1
Association canadienne-française de l'Alberta,François Larocque,1
Association canadienne-française de l'Alberta,Mark C. Power,1
Association canadienne-française de l'Alberta,Michel Doucet (506) 856-8951,1
Association des Avocats de la Défense de Montréal,François Dadour,1
Association des avocats de la défense de Montréal,François Dadour,1
Association des avocats de la défense de Montréal,Guillaume Charlebois,1
Association des avocats de la défense de Montréal,Haroutioun Haladjian,1
Association des avocats de la défense de Montréal,Lida Sara Nouraie,2
Association des avocats de la défense de Montréal,Léon H. Moubayed,1
Association des avocats de la défense de Montréal,Nicholas St-Jacques,2
