NGO,Counsel,Weight
Canadian Association of University Teachers,Immanuel Lanzaderas,2
Canadian Association of University Teachers,Peter Barnacle,2
Canadian Bankers' Association,D. Aaron Stephenson,1
Canadian Bankers' Association,Guy J. Pratte,1
Canadian Bankers' Association,Howard A. Gorman,1
Canadian Bankers' Association,Mathieu Lévesque,1
Canadian Bankers' Association,Patrick Cajvan,1
Canadian Bar Association,Alexandre Fallon,1
Canadian Bar Association,Andres C. Garin,1
Canadian Bar Association,Angela Westmacott (QC),2
Canadian Bar Association,Chantalle van Wiltenburg,1
Canadian Bar Association,Chantelle Van Wiltenburg,2
Canadian Bar Association,Clare Crummey,1
Canadian Bar Association,Connor Bildfell,1
Canadian Bar Association,Craig A.B. Ferris,1
Canadian Bar Association,David Grossman,2
Canadian Bar Association,David Matas,2
Canadian Bar Association,Eric V. Gottardi,2
Canadian Bar Association,Eric V. Gottardi (KC),3
Canadian Bar Association,Ewa Krajewska,2
Canadian Bar Association,Guy J. Pratte,2
Canadian Bar Association,Jacqueline Swaisland,1
Canadian Bar Association,James L. Lebo (QC),1
Canadian Bar Association,Jason L. Wilkins,1
Canadian Bar Association,Jonathan M. Coady,1
Canadian Bar Association,Justin L. Milne,1
Canadian Bar Association,Laura L. Bevan,1
Canadian Bar Association,Lindsay Frame,1
Canadian Bar Association,Lorne Waldman,1
Canadian Bar Association,Mahmud Jamal,2
Canadian Bar Association,Michael A. Feder (KC),1
Canadian Bar Association,Michele H. Hollins (QC),1
Canadian Bar Association,Milah Shah,1
Canadian Bar Association,Monique Pongracic-Speier,1
Canadian Bar Association,Nadia Effendi,2
Canadian Bar Association,Neil Abraham,2
Canadian Bar Association,Nicolas M. Rouleau,1
Canadian Bar Association,Nikos Harris,1
Canadian Bar Association,Noemi Gal-Or,1
Canadian Bar Association,Peter Edelmann,1
Canadian Bar Association,Pierre Bienvenu,1
Canadian Bar Association,Pooja Mihailovich,1
Canadian Bar Association,Susan Ursel,2
Canadian Bar Association,W. David Rankin,2
Canadian Broadcasting Corporation,Guy J. Pratte,1
Canadian Broadcasting Corporation,Jean-Pierre Michaud,1
Canadian Broadcasting Corporation,Judith Harvie,1
Canadian Broadcasting Corporation,Katarina Germani,1
Canadian Broadcasting Corporation,Sean A. Moreman,2
"Canadian Broadcasting Corporation, La Presse Inc. and Ad IDEM/Canadian Media Lawyer Association",Christian Leblanc,1
"Canadian Broadcasting Corporation, La Presse Inc. and Ad IDEM/Canadian Media Lawyer Association",Patricia Hénault,1
Canadian Cancer Society,Robert Cunningham,1
Canadian Catholic School Trustees' Association,Iain T. Benson,1
Canadian Centre for Child Protection Inc.,Amy Goudge,1
Canadian Centre for Child Protection Inc.,Samantha Hale,1
Canadian Centre for Christian Charities,Barry W. Bussey,1
Canadian Centre for Christian Charities,Deina Warren,1
Canadian Centre for International Justice,John Terry,1
Canadian Centre for International Justice,Sarah R. Shody,1
Canadian Chamber of Commerce,Adam Goldenberg,1
Canadian Chamber of Commerce,Andrew Bernstein,1
Canadian Chamber of Commerce,Brandon Kain,2
Canadian Chamber of Commerce,Bryn Gray,1
Canadian Chamber of Commerce,Chantelle Cseh,1
Canadian Chamber of Commerce,J. Toshach Weyman,1
Canadian Chamber of Commerce,Jeremy Opolsky,2
Canadian Chamber of Commerce,Jessica L. Lahan,1
Canadian Chamber of Commerce,Kylie de Chastelain,1
Canadian Chamber of Commerce,Lauren Nickerson,1
Canadian Chamber of Commerce,Ljiljana Stanic,1
Canadian Chamber of Commerce,Matthew Milne-Smith,2
Canadian Chamber of Commerce,Neil Finkelstein,1
Canadian Civil Liberties Association (CCLA),Adriel Weaver,1
Canadian Civil Liberties Association (CCLA),Adrienne Lei,1
Canadian Civil Liberties Association (CCLA),Agatha Wong,1
Canadian Civil Liberties Association (CCLA),Alan L.W. D’Silva,1
Canadian Civil Liberties Association (CCLA),Alannah M. Fotheringham,1
Canadian Civil Liberties Association (CCLA),Albert Brunet,1
Canadian Civil Liberties Association (CCLA),Alexa Biscaro,1
Canadian Civil Liberties Association (CCLA),Alexandra Shelley,1
Canadian Civil Liberties Association (CCLA),Alexandra Urbanski,1
Canadian Civil Liberties Association (CCLA),Alexi N. Wood,4
Canadian Civil Liberties Association (CCLA),Alison M. Latimer,1
Canadian Civil Liberties Association (CCLA),Allan Manson,1
Canadian Civil Liberties Association (CCLA),Allison A. Thornton,1
Canadian Civil Liberties Association (CCLA),Alyssa Tomkins,1
Canadian Civil Liberties Association (CCLA),Andrew Bernstein,1
Canadian Civil Liberties Association (CCLA),Andrew I. Nathanson,1
Canadian Civil Liberties Association (CCLA),Andrew K. Lokan,6
Canadian Civil Liberties Association (CCLA),Andrew Matheson,1
Canadian Civil Liberties Association (CCLA),Anil K. Kapoor,10
Canadian Civil Liberties Association (CCLA),Annie Gallant,1
Canadian Civil Liberties Association (CCLA),Anthony Moustacalis,1
Canadian Civil Liberties Association (CCLA),Antonio Di Domenico,1
Canadian Civil Liberties Association (CCLA),Antony Singleton,1
Canadian Civil Liberties Association (CCLA),Aris Daghighian,1
Canadian Civil Liberties Association (CCLA),Ashley Paterson,1
Canadian Civil Liberties Association (CCLA),Audrey Boctor,1
Canadian Civil Liberties Association (CCLA),Benjamin L. Berger,1
Canadian Civil Liberties Association (CCLA),Benjamin Liston,1
Canadian Civil Liberties Association (CCLA),Bradley E. Berg,2
Canadian Civil Liberties Association (CCLA),Brendan Brammall,1
Canadian Civil Liberties Association (CCLA),Bruce W. Johnston,1
Canadian Civil Liberties Association (CCLA),Bryan Badali,1
Canadian Civil Liberties Association (CCLA),Cameron Cotton O’Brien,1
Canadian Civil Liberties Association (CCLA),Cara Faith Zwibel,5
Canadian Civil Liberties Association (CCLA),Carly Peddle,1
Canadian Civil Liberties Association (CCLA),Catherine Fan,1
Canadian Civil Liberties Association (CCLA),Charlotte-Anne Malischewski,2
Canadian Civil Liberties Association (CCLA),Christian Leblanc,1
Canadian Civil Liberties Association (CCLA),Christine Lonsdale,2
Canadian Civil Liberties Association (CCLA),Christine Mainville,2
Canadian Civil Liberties Association (CCLA),Christopher A. Wayland,2
Canadian Civil Liberties Association (CCLA),Christopher D. Bredt,6
Canadian Civil Liberties Association (CCLA),Clarisa Waldman,1
Canadian Civil Liberties Association (CCLA),Cori Goldberger,2
Canadian Civil Liberties Association (CCLA),Cori Singer,2
Canadian Civil Liberties Association (CCLA),Cynthia Kuehl,1
Canadian Civil Liberties Association (CCLA),D. Lynne Watt,1
Canadian Civil Liberties Association (CCLA),Dana Achtemichuk,1
Canadian Civil Liberties Association (CCLA),Daniel Goudge,1
Canadian Civil Liberties Association (CCLA),Danielle Glatt,3
Canadian Civil Liberties Association (CCLA),David Grossman,1
Canadian Civil Liberties Association (CCLA),David M. Humphrey,1
Canadian Civil Liberties Association (CCLA),David Mollica,2
Canadian Civil Liberties Association (CCLA),David Rose,1
Canadian Civil Liberties Association (CCLA),David S. Rose,1
Canadian Civil Liberties Association (CCLA),Debra McKenna,1
Canadian Civil Liberties Association (CCLA),Efrat Arbel,1
Canadian Civil Liberties Association (CCLA),Emily Sherkey,1
Canadian Civil Liberties Association (CCLA),Eric S. Neubauer,1
Canadian Civil Liberties Association (CCLA),Erika Anschuetz,1
Canadian Civil Liberties Association (CCLA),Erin Hoult,1
Canadian Civil Liberties Association (CCLA),Ewa Krajewska,3
Canadian Civil Liberties Association (CCLA),Frank Addario,10
Canadian Civil Liberties Association (CCLA),Gavin R. Cameron,1
Canadian Civil Liberties Association (CCLA),Geetha Philipupillai,1
Canadian Civil Liberties Association (CCLA),Gerald Chan,1
Canadian Civil Liberties Association (CCLA),Gillian T. Hnatiw,1
Canadian Civil Liberties Association (CCLA),Graham Buitenhuis,1
Canadian Civil Liberties Association (CCLA),Guy Du Pont,2
Canadian Civil Liberties Association (CCLA),H. Michael Rosenberg,1
Canadian Civil Liberties Association (CCLA),Harshi Mann,1
Canadian Civil Liberties Association (CCLA),Heather Ferg,2
Canadian Civil Liberties Association (CCLA),Heather K. Pessione,1
Canadian Civil Liberties Association (CCLA),J.R. Kristian Brabander,1
Canadian Civil Liberties Association (CCLA),Jacqueline Swaisland,1
Canadian Civil Liberties Association (CCLA),Jameel Madhany,1
Canadian Civil Liberties Association (CCLA),James Foy,1
Canadian Civil Liberties Association (CCLA),Jamie Cameron,3
Canadian Civil Liberties Association (CCLA),Janani Shanmuganathan,1
Canadian Civil Liberties Association (CCLA),Jane O’Neill,1
Canadian Civil Liberties Association (CCLA),Jasmine T. Akbarali,1
Canadian Civil Liberties Association (CCLA),Jason MacLean,2
Canadian Civil Liberties Association (CCLA),Jean-Claude Killey,1
Canadian Civil Liberties Association (CCLA),Jean-Philippe Groleau,2
Canadian Civil Liberties Association (CCLA),Jennifer McAleer,1
Canadian Civil Liberties Association (CCLA),Jennifer P. Saville,2
Canadian Civil Liberties Association (CCLA),Jill R. Presser,2
Canadian Civil Liberties Association (CCLA),Jodi Martin,1
Canadian Civil Liberties Association (CCLA),Jonathan A. Shime,1
Canadian Civil Liberties Association (CCLA),Jonathan C. Lisus,4
Canadian Civil Liberties Association (CCLA),Jonathan Porter,1
Canadian Civil Liberties Association (CCLA),Joseph J. Arvay (QC),1
Canadian Civil Liberties Association (CCLA),Josh Koziebrocki,1
Canadian Civil Liberties Association (CCLA),Joshua Phillips,1
Canadian Civil Liberties Association (CCLA),Joshua S. Phillips,1
Canadian Civil Liberties Association (CCLA),Julien Morissette,1
Canadian Civil Liberties Association (CCLA),Julius H. Grey,1
Canadian Civil Liberties Association (CCLA),Karen Ensslen,1
Canadian Civil Liberties Association (CCLA),Kate Robertson,1
Canadian Civil Liberties Association (CCLA),Kate Southwell,1
Canadian Civil Liberties Association (CCLA),Kimberly Potter,1
Canadian Civil Liberties Association (CCLA),Laura M. Wagner,1
Canadian Civil Liberties Association (CCLA),Leah West,1
Canadian Civil Liberties Association (CCLA),Lex Gill,1
Canadian Civil Liberties Association (CCLA),Lillianne Cadieux-Shaw,1
Canadian Civil Liberties Association (CCLA),Lindsay Daviau,1
Canadian Civil Liberties Association (CCLA),Lindsay L. Daviau,4
Canadian Civil Liberties Association (CCLA),Lindsay Rauccio,1
Canadian Civil Liberties Association (CCLA),Lobat Sadrehashemi,1
Canadian Civil Liberties Association (CCLA),Lorne Waldman,2
Canadian Civil Liberties Association (CCLA),Lyndsay Trevelyan,1
Canadian Civil Liberties Association (CCLA),Léon H. Moubayed,2
Canadian Civil Liberties Association (CCLA),Mahmud Jamal,5
Canadian Civil Liberties Association (CCLA),Mannu Chowdhury,1
Canadian Civil Liberties Association (CCLA),Marc-André Nadon,1
Canadian Civil Liberties Association (CCLA),Margot Finley,1
Canadian Civil Liberties Association (CCLA),Margot G. Finley,1
Canadian Civil Liberties Association (CCLA),Mariam Moktar,1
Canadian Civil Liberties Association (CCLA),Mark J. Freiman,1
Canadian Civil Liberties Association (CCLA),Marlys A. Edwardh,1
Canadian Civil Liberties Association (CCLA),Mathieu Bélanger,1
Canadian Civil Liberties Association (CCLA),Matthew Milne-Smith,1
Canadian Civil Liberties Association (CCLA),Matthew R. Gourlay,2
Canadian Civil Liberties Association (CCLA),Matthew S. Eastbrooks,1
Canadian Civil Liberties Association (CCLA),Megan Savard,1
Canadian Civil Liberties Association (CCLA),Meredith E. Jones,1
Canadian Civil Liberties Association (CCLA),Michael Bookman,1
Canadian Civil Liberties Association (CCLA),Michael Perlin,1
Canadian Civil Liberties Association (CCLA),Michael W. Lacy,1
Canadian Civil Liberties Association (CCLA),Michelle M. Biddulph,1
Canadian Civil Liberties Association (CCLA),Nader R. Hasan,5
Canadian Civil Liberties Association (CCLA),Natalie V. Kolos,1
Canadian Civil Liberties Association (CCLA),Nickolas Tzoulas,1
Canadian Civil Liberties Association (CCLA),Olga Redko,1
Canadian Civil Liberties Association (CCLA),Olivia Eng,1
Canadian Civil Liberties Association (CCLA),Owen Goddard,1
Canadian Civil Liberties Association (CCLA),Patricia D.S. Jackson,1
Canadian Civil Liberties Association (CCLA),Paul B. Schabas (Blake),1
Canadian Civil Liberties Association (CCLA),Paul F. Monahan,1
Canadian Civil Liberties Association (CCLA),Penelope Simons,1
Canadian Civil Liberties Association (CCLA),Peter H. Edelmann,1
Canadian Civil Liberties Association (CCLA),Peter M. Rogers (QC),1
Canadian Civil Liberties Association (CCLA),Pierre N. Gemson,3
Canadian Civil Liberties Association (CCLA),Pierre-Alexandre Henri,1
Canadian Civil Liberties Association (CCLA),Rahat Godil,1
Canadian Civil Liberties Association (CCLA),Ranjan K. Agarwal,1
Canadian Civil Liberties Association (CCLA),Reakash Walters,1
Canadian Civil Liberties Association (CCLA),Rebecca Wise,1
Canadian Civil Liberties Association (CCLA),Ronke Akinyemi,1
Canadian Civil Liberties Association (CCLA),Ryan W. Kennedy,1
Canadian Civil Liberties Association (CCLA),Ryann Atkins,2
Canadian Civil Liberties Association (CCLA),Ryder Gilliland,2
Canadian Civil Liberties Association (CCLA),Samara Secter,5
Canadian Civil Liberties Association (CCLA),Sarah Rankin,2
Canadian Civil Liberties Association (CCLA),Sarah Whitmore,1
Canadian Civil Liberties Association (CCLA),Sean Dewart,2
Canadian Civil Liberties Association (CCLA),Senem Ozkin,1
Canadian Civil Liberties Association (CCLA),Shashu Clacken Reyes,1
Canadian Civil Liberties Association (CCLA),Simon Archer,1
Canadian Civil Liberties Association (CCLA),Simon Chamberland,1
Canadian Civil Liberties Association (CCLA),Solomon Friedman,1
Canadian Civil Liberties Association (CCLA),Spencer Bass,1
Canadian Civil Liberties Association (CCLA),Stephanie DiGiuseppe,1
Canadian Civil Liberties Association (CCLA),Stephen Aylward,2
Canadian Civil Liberties Association (CCLA),Steven M. Barrett,1
Canadian Civil Liberties Association (CCLA),Stuart Svonkin,1
Canadian Civil Liberties Association (CCLA),Sylvain Lussier,1
Canadian Civil Liberties Association (CCLA),Sylvie Rodrigue (AdE),1
Canadian Civil Liberties Association (CCLA),Tamara Morgenthau,1
Canadian Civil Liberties Association (CCLA),Tara Boghosian,1
Canadian Civil Liberties Association (CCLA),Tim Gleason,1
Canadian Civil Liberties Association (CCLA),Victoria M. Cichalewska,1
Canadian Civil Liberties Association (CCLA),W. David Rankin,4
Canadian Civil Liberties Association (CCLA),Wendy J. Wagner,1
Canadian Civil Liberties Association (CCLA),Wendy Matheson,1
Canadian Civil Liberties Association (CCLA),Wesley Dutcher-Walls,1
Canadian Civil Liberties Association (CCLA),Zain Naqi,3
Canadian Civil Liberties Association (CCLA),Zohar R. Levy,1
Canadian Civil Liberties Association (CCLA),Érik Arsenault,1
Canadian College of Medical Geneticists,Michael Bookman,1
Canadian Commercial Arbitration Center,Charles Côté-De Lagrave,1
Canadian Commercial Arbitration Center,Laurent Debrun,1
Canadian Conference of Catholic Bishops,W. J. Sammon,2
Canadian Constitution Foundation,Adam Goldenberg,6
Canadian Constitution Foundation,Adrienne Funk,1
Canadian Constitution Foundation,Aidan N. Paul,1
Canadian Constitution Foundation,Akshay Aurora,1
Canadian Constitution Foundation,Allison Spiegel,1
Canadian Constitution Foundation,Atrisha Lewis,2
Canadian Constitution Foundation,Brandon Kain,6
Canadian Constitution Foundation,Brandon Siegal,1
Canadian Constitution Foundation,Brett R. Carlson,1
Canadian Constitution Foundation,Bryn Gray,1
Canadian Constitution Foundation,Byron Shaw,2
Canadian Constitution Foundation,Darryl A. Cruz,3
Canadian Constitution Foundation,Darryl Cruz,1
Canadian Constitution Foundation,George Avraam,1
Canadian Constitution Foundation,Gerard J. Kennedy,1
Canadian Constitution Foundation,Jacob Klugsberg,1
Canadian Constitution Foundation,Jason MacLean,1
Canadian Constitution Foundation,Jennifer R. Bernardo,1
Canadian Constitution Foundation,Jesse Hartery,3
Canadian Constitution Foundation,Karin Sachar,1
Canadian Constitution Foundation,Kate Findlay,1
Canadian Constitution Foundation,Lipi Mishra,1
Canadian Constitution Foundation,Malcolm Lavoie,1
Canadian Constitution Foundation,Mark A. Gelowitz,3
Canadian Constitution Foundation,Mark Sheeley,1
Canadian Constitution Foundation,Natalie V. Kolos,1
Canadian Constitution Foundation,Neil Finkelstein,1
Canadian Constitution Foundation,Peter Banks,1
Canadian Constitution Foundation,Ronald Podolny,1
Canadian Constitution Foundation,Rono Khan,1
Canadian Constitution Foundation,Simon Bouthillier,1
Canadian Constitution Foundation,Simon Cameron,2
Canadian Constitution Foundation,Sunil Kapur,1
Canadian Constitution Foundation,Sébastien Cusson,1
Canadian Constitutional Foundation,Annamaria Enenajor,1
Canadian Constitutional Foundation,Stephanie DiGiuseppe,1
Canadian Construction Association,David Outerbridge,1
Canadian Construction Association,Jeremy Opolsky,1
Canadian Construction Association,Nick Kennedy,1
Canadian Council for Refugees,Angus Grant,3
Canadian Council for Refugees,Catherine Bruce,2
Canadian Council for Refugees,Catherine Dauvergne,1
Canadian Council for Refugees,Darryl W. Larson,1
Canadian Council for Refugees,David Matas,1
Canadian Council for Refugees,Erica Olmstead,1
Canadian Council for Refugees,Fadi Yachoua,1
Canadian Council for Refugees,Gerald Heckman,1
Canadian Council for Refugees,Jamie Liew,4
Canadian Council for Refugees,Jean Lash,1
Canadian Council for Refugees,Jennifer Dagsvik,1
Canadian Council for Refugees,Jennifer Stone,1
Canadian Council for Refugees,Kamaljit Kaur Lehal,1
Canadian Council for Refugees,Laura Best,2
Canadian Council for Refugees,Molly Joeck,1
Canadian Council for Refugees,Peter H. Edelmann,1
Canadian Council for Refugees,Pia Zambelli,1
Canadian Council for Refugees,Richard Goldman,1
Canadian Council for Refugees and Canadian Association of Refugee Lawyers,Andrew Brouwer,1
Canadian Council for Refugees and Canadian Association of Refugee Lawyers,John Norris,1
Canadian Council for Refugees and International Civil Liberties Monitoring Group,Andrew J. Brouwer,1
Canadian Council for Refugees and International Civil Liberties Monitoring Group,Barbara Jackman,1
Canadian Council for Refugees and International Civil Liberties Monitoring Group,Sharryn J. Aiken,1
Canadian Council of Chief Judges,P. Jonathan Faulds (QC),1
Canadian Council of Chief Judges,Scott A. Matheson,1
Canadian Council of Christian Charities,Barry W. Bussey,4
Canadian Council of Christian Charities,Derek Ross,1
Canadian Council of Christian Charities,Iain T. Benson,1
Canadian Council of Christian Charities,Marie-France Major,1
Canadian Council of Christian Charities,Philip A.S. Milley,3
Canadian Council of Criminal Defence Lawyers,François Dadour,1
Canadian Council of Criminal Defence Lawyers,John M. Williams,1
Canadian Council of Criminal Defence Lawyers,John Norris,1
Canadian Council of Criminal Defence Lawyers,Thomas P. Hynes,1
Canadian Council of Muslim Women (CCMW),Paul-Erik Veel,1
Canadian Council on American-Islamic Relations,Faisal Bhabha,1
Canadian Council on American-Islamic Relations,Mihad Fahmy,1
Canadian Council on American-Islamic Relations (now known as National Council of Canadian Muslims),Faisal Bhabha,1
Canadian Council on American-Islamic Relations (now known as National Council of Canadian Muslims),Khalid M. Elgazzar,1
Canadian Crime Stoppers Association,Robert S. Gill,1
Canadian Critical Care Society,Alexi N. Wood,1
Canadian Critical Care Society,Andrew S. Faith,1
"Canadian Drug Policy Coalition, Association des intervenants en dépendance du Québec and Harm Reduction Nurses Association",Maxime Bédard,1
"Canadian Drug Policy Coalition, Association des intervenants en dépendance du Québec and Harm Reduction Nurses Association",Meagan Berlin,1
Canadian Employers Council,Augustus G. Lilly (QC),1
Canadian Employers Council,Christopher D. Pigott,1
Canadian Employers Council,John D. R. Craig,1
Canadian Employers Council,Stephen F. Penney,1
Canadian Environmental Law Association and Lake Ontario Waterkeeper,Joseph F. Castrilli,1
Canadian Environmental Law Association and Lake Ontario Waterkeeper,Ramani Nadarajah,1
"Canadian Environmental Law Association, Environmental Defence Canada Inc. and Sisters of Providence of St. Vincent de Paul",Joseph F. Castrilli,1
"Canadian Environmental Law Association, Environmental Defence Canada Inc. and Sisters of Providence of St. Vincent de Paul",Richard D. Lindgren,1
"Canadian Environmental Law Association, Environmental Defence Canada Inc. and Sisters of Providence of St. Vincent de Paul",Theresa McClenaghan,1
"Canadian Environmental Law Association, Environmental Defence Canada Inc., and MiningWatch Canada Inc.",Joseph F. Castrilli,1
"Canadian Environmental Law Association, Environmental Defence Canada Inc., and MiningWatch Canada Inc.",Richard D. Lindgren,1
Canadian Expat Association,Brynne Harding,1
Canadian Expat Association,Colin C.J. Feasby,1
Canadian Expat Association,Geoffrey Langen,1
Canadian Expat Association,Sean Sutherland,1
Canadian Federation of Catholic Physicians' Societies,Albertos Polizogopoulos,1
Canadian Federation of Catholic Physicians' Societies,Richard Léger,1
Canadian Federation of Independent Business,Anthony Daimsis,3
Canadian Foundation for Advancement of Investor Rights,Denise Cooney,1
Canadian Foundation for Advancement of Investor Rights,Margaret L. Waddell,1
Canadian Francophonie Research Chair in Language Rights,François Larocque,1
Canadian Francophonie Research Chair on Language Rights,François Larocque,1
Canadian Gaming Association,Adam Goldenberg,1
Canadian Gaming Association,Brandon Kain,1
Canadian Gaming Association,Gillian P. Kerr,1
Canadian Generic Pharmaceutical Association,Irwin I. Liebman,1
Canadian Generic Pharmaceutical Association,Moe F. Liebman,1
"Canadian HIV / AIDS Legal Network, HIV & AIDS Legal Clinic Ontario and Positive Living Society of British Columbia",Alexandra E. Cocks,1
"Canadian HIV / AIDS Legal Network, HIV & AIDS Legal Clinic Ontario and Positive Living Society of British Columbia",Jordanna Cytrynbaum,1
"Canadian HIV / AIDS Legal Network, HIV & AIDS Legal Clinic Ontario and Positive Living Society of British Columbia",Michael A. Feder,1
Canadian HIV/AIDS Legal Network,Corie Langdon,1
Canadian HIV/AIDS Legal Network,Jonathan A. Shime,1
Canadian HIV/AIDS Legal Network,Richard Elliott,1
Canadian HIV/AIDS Legal Network,Ryan Peck,1
Canadian HIV/AIDS Legal Network,Stéphanie Claivaz-Loranger,1
Canadian HIV/AIDS Legal Network and HIV & AIDS Legal Clinic Ontario,Jonathan A. Shime,1
Canadian HIV/AIDS Legal Network and HIV & AIDS Legal Clinic Ontario,Ryan Peck,1
Canadian HIV/AIDS Legal Network and HIV & AIDS Legal Clinic Ontario,Wayne Cunningham,1
"Canadian HIV/AIDS Legal Network, British Columbia Centre for Excellence in HIV/AIDS and HIV & AIDS Legal Clinic Ontario",Jonathan A. Shime,1
"Canadian HIV/AIDS Legal Network, British Columbia Centre for Excellence in HIV/AIDS and HIV & AIDS Legal Clinic Ontario",Megan Schwartzentruber,1
"Canadian HIV/AIDS Legal Network, British Columbia Centre for Excellence in HIV/AIDS, Prisoners with HIV/AIDS Support Action Network, and Canadian Association of People who use drugs",Richard Elliott,1
"Canadian HIV/AIDS Legal Network, HIV & AIDS Legal Clinic Ontario",Gordon Capern,1
"Canadian HIV/AIDS Legal Network, HIV & AIDS Legal Clinic Ontario",Michael Fenrick,1
"Canadian HIV/AIDS Legal Network, HIV & AIDS Legal Clinic Ontario",Richard Elliott,1
"Canadian HIV/AIDS Legal Network, HIV & AIDS Legal Clinic Ontario",Ryan Peck,1
"Canadian HIV/AIDS Legal Network, International Harm Reduction Association and CACTUS Montréal",Angela M. Juba,1
"Canadian HIV/AIDS Legal Network, International Harm Reduction Association and CACTUS Montréal",Louis Letellier de St-Just,1
"Canadian HIV/AIDS Legal Network, International Harm Reduction Association and CACTUS Montréal",Michael A. Feder,1
"Canadian HIV/AIDS Legal Network, International Harm Reduction Association and CACTUS Montréal",Richard A. Elliott,1
Canadian Home Builders' Association,Conner Harris,1
Canadian Home Builders' Association,Shane Rayman,1
Canadian Human Rights Commission,Brian Smith,3
Canadian Human Rights Commission,Caroline Carrasco,1
Canadian Human Rights Commission,Daniel Poulin,1
Canadian Human Rights Commission,Fiona Keith,2
Canadian Human Rights Commission,Ikram Warsame,1
Canadian Human Rights Commission,Philippe Dufresne,4
Canadian Human Rights Commission,Sasha Hart,1
Canadian Human Rights Commission,Sheila Osborne-Brown,3
Canadian Jewish Congress,Mark J. Freiman,1
Canadian Journalists for Free Expression,M. Philip Tunley,1
Canadian Labour Congress,Daniel Sheppard,3
Canadian Labour Congress,Ethan Poskander,2
Canadian Labour Congress,Ethan Poskanzer,3
Canadian Labour Congress,Jeffrey Sack,1
Canadian Labour Congress,Mariam Moktar,1
Canadian Labour Congress,Simon Archer,1
Canadian Labour Congress,Steven Barrett,4
Canadian Labour Congress,Steven M. Barrett,3
Canadian Labour Congress,Vanessa Payne,1
Canadian Lawyers for International Human Rights,Daniel Sheppard,1
Canadian Lawyers for International Human Rights,Emma Phillips,1
Canadian Lawyers for International Human Rights,Jill Copeland,1
Canadian Lawyers for International Human Rights,Laura R. L. Johnson,1
Canadian Lawyers for International Human Rights,Mae J. Nam,2
Canadian Lawyers for International Human Rights,Nabila N. Khan,1
Canadian Lawyers for International Human Rights,Rebecca Jones,1
Canadian Lawyers for International Human Rights,Vibhu Sharma,1
Canadian Lawyers for International Human Rights and the Canadian Centre for Victims of Torture,Audrey Macklin,1
Canadian Lawyers for International Human Rights and the Canadian Centre for Victims of Torture,Lorne Waldman,1
Canadian Lawyers for International Human Rights and the Canadian Centre for Victims of Torture,Steven Blakey,1
"Canadian Lawyers for International Human Rights, Canadian Centre for Victims of Torture, Canadian Council for Refugees",Adriel Weaver,1
"Canadian Lawyers for International Human Rights, Canadian Centre for Victims of Torture, Canadian Council for Refugees",Louis Century,1
Canadian Legal Information Institute,Fahad Siddiqui,1
Canadian Legal Information Institute,Rahool P. Agarwal,1
Canadian Life and Health Insurance Association,Christopher Richter,1
Canadian Medical Association,Guy J. Pratte,1
Canadian Medical Association,Harry Underwood,1
Canadian Medical Association,Jean Nelson,2
Canadian Medical Association,Jessica Prince,1
Canadian Medical Association,Nadia Effendi,1
"Canadian Mental Health Association (National), Canada Without Poverty, Aboriginal Council of Winnipeg Inc. and End Homelessness Winnipeg Inc.",Allison Fenske,1
"Canadian Mental Health Association (National), Canada Without Poverty, Aboriginal Council of Winnipeg Inc. and End Homelessness Winnipeg Inc.",Chimwemwe Undi,1
"Canadian Mental Health Association (National), Canada Without Poverty, Aboriginal Council of Winnipeg Inc. and End Homelessness Winnipeg Inc.",Joëlle Pastora Sala,1
"Canadian Mental Health Association (National), Canada Without Poverty, Aboriginal Council of Winnipeg Inc. and End Homelessness Winnipeg Inc.",Natalie Copps,1
"Canadian Mental Health Association, Ontario",Adam Goldenberg,2
"Canadian Mental Health Association, Ontario",Ljiljana Stanic,2
Canadian Mining Association,Andrea Zwack,1
Canadian Mining Association,Melanie Vipond,1
Canadian Mining Association,Peter A. Gall (QC),1
Canadian Muslim Lawyers Association,Faisal Bhabha,1
Canadian Muslim Lawyers Association,Faisal Mirza,3
Canadian Muslim Lawyers Association,Justin Safayeni,1
Canadian Muslim Lawyers Association,Khalid M. Elgazzar,1
Canadian Muslim Lawyers Association,Kumail Karimjee,1
Canadian Muslim Lawyers Association,Nabila F. Qureshi,1
Canadian Muslim Lawyers Association,Nader R. Hasan,1
Canadian Muslim Lawyers Association,Naseem Mithoowani,1
Canadian Muslim Lawyers Association,Shahzad F. Siddiqui,2
Canadian Muslim Lawyers Association,Taufiq Hashmani,1
Canadian Muslim Lawyers Association and Federation of Asian Canadian Lawyers,Dragana Rakic,1
Canadian Muslim Lawyers Association and Federation of Asian Canadian Lawyers,Emily Lam,1
Canadian Muslim Lawyers Association and Federation of Asian Canadian Lawyers,Nader R. Hasan,1
Canadian Muslim Lawyers Association and Federation of Asian Canadian Lawyers,Vinidhra Vaitheeswaran,1
Canadian National Railway Company,Johanne Cavé,1
Canadian National Railway Company,Robert Dupont,1
Canadian National Railway Company,Simon-Pierre Paquette,1
Canadian National Railway Company,Thomas Brady,1
Canadian Newspaper Association,Christian Leblanc,1
Canadian Newspaper Association,Paul B. Schabas,1
"Canadian Newspaper Association, Ad IDEM/Canadian Media lawyers Association and Canadian Association of Journalists",Ryder Gilliland,1
